iter,weights_learned,regret,preferred_solution,computed_solution
20,"{'makespan': np.float64(1.586944357010457), 'workstations': np.float64(2.8333333333333326), 'employees': np.float64(0.5001), 'robots': np.float64(1.6667666666666667), 'employee_time': 0.0001}",0.0,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
40,"{'makespan': np.float64(1.4591158675200224), 'workstations': np.float64(2.8333333333333326), 'employees': np.float64(1.0001), 'robots': np.float64(1.6667666666666667), 'employee_time': 0.0001}",0.0,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
60,"{'makespan': np.float64(1.4924282166963942), 'workstations': np.float64(2.9999999999999987), 'employees': np.float64(1.0001), 'robots': np.float64(2.0001), 'employee_time': np.float64(0.04263056884635841)}",0.0,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
