iter,weights_learned,regret,preferred_solution,computed_solution,solve_time
20,"{'makespan': 32, 'workstations': 32, 'employees': 2, 'robots': 2, 'employee_time': 8}",0.16375280335940234,"{'makespan': 0.9755555555555555, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 0.9533333333333334}","{'makespan': 0.6522222222222223, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.49777777777777776}",6.0660035610198975
40,"{'makespan': 2048, 'workstations': 4096, 'employees': 128, 'robots': 32, 'employee_time': 1024}",0.1666020571356929,"{'makespan': 0.9755555555555555, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 0.9533333333333334}","{'makespan': 0.7788888888888889, 'workstations': 4, 'employees': 1, 'robots': 1, 'employee_time': 0.3466666666666667}",2.055973768234253
60,"{'makespan': 262144, 'workstations': 131072, 'employees': 8192, 'robots': 8192, 'employee_time': 65536}",0.3625639666841747,"{'makespan': 0.9755555555555555, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 0.9533333333333334}","{'makespan': 0.53, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.1622222222222222}",2.542872905731201
