iter,weights_learned,regret,preferred_solution,computed_solution
20,"{'makespan': 0.256199069702375, 'workstations': 1.0001, 'employees': 1.0001, 'robots': 0.6667666666666667, 'employee_time': 3.2530568846358316}",1.6635002925513158,"{'makespan': 0.7788888888888889, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}","{'makespan': 1.15, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.15555555555555556}"
40,"{'makespan': 0.24142272584198993, 'workstations': 1.0001, 'employees': 1.0001, 'robots': 0.6667666666666668, 'employee_time': 4.434343434343434}",1.6635002925513158,"{'makespan': 0.7788888888888889, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}","{'makespan': 1.15, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.15555555555555556}"
60,"{'makespan': 0.2263840800195856, 'workstations': 1.0001, 'employees': 1.0001, 'robots': 0.00010000000000065512, 'employee_time': 5.2073365231259965}",1.209820166671137,"{'makespan': 0.7788888888888889, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}","{'makespan': 1.1522222222222223, 'workstations': 4, 'employees': 1, 'robots': 1, 'employee_time': 0.1288888888888889}"
80,"{'makespan': 0.41698525163501565, 'workstations': 0.1667666666666668, 'employees': 1.0001, 'robots': 0.6667666666666667, 'employee_time': 5.726209463051567}",0.8128500482727821,"{'makespan': 0.7788888888888889, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}","{'makespan': 1.1555555555555554, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.10555555555555556}"
