iter,weights_learned,regret,preferred_solution,computed_solution
20,"{'makespan': 8.801205165599972, 'workstations': 0.00010000000000109921, 'employees': 10.0001, 'robots': 10.0001, 'employee_time': 19.968633705475806}",0.347813339822883,"{'makespan': 0.7922222222222223, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}","{'makespan': 0.5355555555555556, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.12333333333333334}"
40,"{'makespan': 2.8373328891686804, 'workstations': 5.0001000000000015, 'employees': 10.0001, 'robots': 16.666766666666664, 'employee_time': 22.265284423179164}",0.7051051015347827,"{'makespan': 0.7922222222222223, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}","{'makespan': 1.15, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.15555555555555556}"
60,"{'makespan': 0.0001, 'workstations': 6.666766666666669, 'employees': 10.0001, 'robots': 20.000099999999996, 'employee_time': 25.221158958001066}",0.7056128758846927,"{'makespan': 0.7922222222222223, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}","{'makespan': 1.1966666666666668, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.15555555555555556}"
80,"{'makespan': 0.0001, 'workstations': 6.666766666666669, 'employees': 10.0001, 'robots': 20.000099999999996, 'employee_time': 26.263157894736846}",0.7056128758846927,"{'makespan': 0.7922222222222223, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}","{'makespan': 1.1966666666666668, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.15555555555555556}"
