iter,weights,bounds,results
12,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(2.2499999999999947), 'employees': 1, 'robots': 1, 'employee_time': np.float64(1.5000000000000004)}","{'makespan': 0.9844833333333333, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.6122222222222222, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.5955555555555555}"
13,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(2.2499999999999947), 'employees': 1, 'robots': 1, 'employee_time': np.float64(1.5000000000000004)}","{'makespan': None, 'workstations': 3.95, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.6122222222222222, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.5955555555555555}"
13,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(3.374999999999988), 'employees': 1, 'robots': 1, 'employee_time': np.float64(1.5000000000000004)}","{'makespan': None, 'workstations': 3.95, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
14,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(3.374999999999988), 'employees': 1, 'robots': 1, 'employee_time': np.float64(1.5000000000000004)}","{'makespan': None, 'workstations': 3.0, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
15,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(3.374999999999988), 'employees': 1, 'robots': 1, 'employee_time': np.float64(1.5000000000000004)}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
16,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(3.374999999999988), 'employees': 1, 'robots': 1, 'employee_time': np.float64(1.5000000000000004)}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': 0.95285}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
16,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(3.374999999999988), 'employees': 1, 'robots': 1, 'employee_time': np.float64(2.2500000000000013)}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': 0.95285}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
16,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(3.374999999999988), 'employees': 1, 'robots': 1, 'employee_time': np.float64(3.375000000000003)}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': 0.95285}","{'makespan': 0.6522222222222223, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.49777777777777776}"
17,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(3.374999999999988), 'employees': 1, 'robots': 1, 'employee_time': np.float64(3.375000000000003)}","{'makespan': None, 'workstations': 3.95, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.6522222222222223, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.49777777777777776}"
17,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(5.062499999999976), 'employees': 1, 'robots': 1, 'employee_time': np.float64(3.375000000000003)}","{'makespan': None, 'workstations': 3.95, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
18,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(5.062499999999976), 'employees': 1, 'robots': 1, 'employee_time': np.float64(3.375000000000003)}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': 0.95285}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
18,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(5.062499999999976), 'employees': 1, 'robots': 1, 'employee_time': np.float64(5.062500000000006)}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': 0.95285}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
18,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(5.062499999999976), 'employees': 1, 'robots': 1, 'employee_time': np.float64(7.5937500000000115)}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': 0.95285}","{'makespan': 0.7744444444444445, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.4}"
19,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(5.062499999999976), 'employees': 1, 'robots': 1, 'employee_time': np.float64(7.5937500000000115)}","{'makespan': None, 'workstations': 3.95, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.7744444444444445, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.4}"
19,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(7.593749999999955), 'employees': 1, 'robots': 1, 'employee_time': np.float64(7.5937500000000115)}","{'makespan': None, 'workstations': 3.95, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
20,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(7.593749999999955), 'employees': 1, 'robots': 1, 'employee_time': np.float64(7.5937500000000115)}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': 0.95285}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
20,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(7.593749999999955), 'employees': 1, 'robots': 1, 'employee_time': np.float64(11.390625000000021)}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': 0.95285}","{'makespan': 1.15, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.15555555555555556}"
20,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(7.593749999999955), 'employees': 1, 'robots': 1, 'employee_time': np.float64(11.390625000000021)}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': 0.95285}","{'makespan': 1.15, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.15555555555555556}"
21,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(7.593749999999955), 'employees': 1, 'robots': 1, 'employee_time': np.float64(11.390625000000021)}","{'makespan': None, 'workstations': 3.95, 'employees': None, 'robots': 0.0, 'employee_time': None}","{'makespan': 1.15, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.15555555555555556}"
21,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(11.390624999999918), 'employees': 1, 'robots': 1, 'employee_time': np.float64(11.390625000000021)}","{'makespan': None, 'workstations': 3.95, 'employees': None, 'robots': 0.0, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
22,"{'makespan': np.float64(5.0625000000000036), 'workstations': np.float64(11.390624999999918), 'employees': 1, 'robots': 1, 'employee_time': np.float64(11.390625000000021)}","{'makespan': 0.9844833333333333, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
22,"{'makespan': np.float64(7.593750000000006), 'workstations': np.float64(11.390624999999918), 'employees': 1, 'robots': 1, 'employee_time': np.float64(11.390625000000021)}","{'makespan': 0.9844833333333333, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.8444444444444444, 'workstations': 3, 'employees': 2, 'robots': 0, 'employee_time': 1.0}"
23,"{'makespan': np.float64(7.593750000000006), 'workstations': np.float64(11.390624999999918), 'employees': 1, 'robots': 1, 'employee_time': np.float64(11.390625000000021)}","{'makespan': 0.8208722222222222, 'workstations': None, 'employees': 1.95, 'robots': None, 'employee_time': None}","{'makespan': 0.8444444444444444, 'workstations': 3, 'employees': 2, 'robots': 0, 'employee_time': 1.0}"
23,"{'makespan': np.float64(11.390625000000009), 'workstations': np.float64(11.390624999999918), 'employees': np.float64(1.5000000000000004), 'robots': 1, 'employee_time': np.float64(11.390625000000021)}","{'makespan': 0.8208722222222222, 'workstations': None, 'employees': 1.95, 'robots': None, 'employee_time': None}","{'makespan': 0.8444444444444444, 'workstations': 3, 'employees': 2, 'robots': 0, 'employee_time': 1.0}"
23,"{'makespan': np.float64(17.085937500000014), 'workstations': np.float64(11.390624999999918), 'employees': np.float64(2.2500000000000013), 'robots': 1, 'employee_time': np.float64(11.390625000000021)}","{'makespan': 0.8208722222222222, 'workstations': None, 'employees': 1.95, 'robots': None, 'employee_time': None}","{'makespan': 0.8444444444444444, 'workstations': 3, 'employees': 2, 'robots': 0, 'employee_time': 1.0}"
