Method,Queries,AvgRegret,StdRegret
norm_base/div_UCB/dis_True,20.0,0.2000858314276684,0.20803313936567783
norm_base/div_UCB/dis_True,40.0,0.18131298042305416,0.18323685734557457
norm_base/div_UCB/dis_True,60.0,0.1678274887609421,0.18189790257325786
norm_base/div_UCB/dis_True,80.0,0.1790678015083475,0.18450903862665022
norm_base/div_base/dis_False,20.0,0.23374413403542788,0.1996156436501506
norm_base/div_base/dis_False,40.0,0.2173445960562188,0.17509583715747723
norm_base/div_base/dis_False,60.0,0.21629515612422257,0.17433230428550747
norm_base/div_base/dis_False,80.0,0.24979600534575166,0.2233267745843043
norm_base/div_base/dis_True,20.0,0.17735039378238082,0.18885585083033868
norm_base/div_base/dis_True,40.0,0.1784065266324891,0.18769404014407548
norm_base/div_base/dis_True,60.0,0.17588280675779006,0.18913339553710481
norm_base/div_base/dis_True,80.0,0.17616134771778244,0.18889985240190127
norm_custom/div_UCB/dis_True,20.0,0.05230802845603801,0.06978202446345212
norm_custom/div_UCB/dis_True,40.0,0.04867619792670331,0.06923146076623769
norm_custom/div_UCB/dis_True,60.0,0.05574447668677368,0.08862588653821674
norm_custom/div_UCB/dis_True,80.0,0.06571948987709371,0.10068050158927286
norm_custom/div_base/dis_False,20.0,0.06164027721287446,0.08713391472469019
norm_custom/div_base/dis_False,40.0,0.04069655824460997,0.06512336735974299
norm_custom/div_base/dis_False,60.0,0.05745404499396144,0.09252906247120754
norm_custom/div_base/dis_False,80.0,0.02607029590868931,0.04157568882968692
norm_custom/div_base/dis_True,20.0,0.06272331138624862,0.10226353784791659
norm_custom/div_base/dis_True,40.0,0.054844488020837336,0.0864717831813683
norm_custom/div_base/dis_True,60.0,0.06414434891545086,0.09087326714023085
norm_custom/div_base/dis_True,80.0,0.08446174085662066,0.11270254578175987
norm_local/div_UCB/dis_True,20.0,0.1216039146285894,0.18661924584743766
norm_local/div_UCB/dis_True,40.0,0.08083445892489957,0.1190558330801533
norm_local/div_UCB/dis_True,60.0,0.08170123645719941,0.11848777809572142
norm_local/div_UCB/dis_True,80.0,0.08242429203108159,0.11889542929243785
norm_local/div_base/dis_False,20.0,0.17381659255583257,0.431132708688101
norm_local/div_base/dis_False,40.0,0.13264445656703533,0.19056168685954739
norm_local/div_base/dis_False,60.0,0.15034529990461726,0.19130819508189187
norm_local/div_base/dis_False,80.0,0.20260898088625073,0.37509361466508184
norm_local/div_base/dis_True,20.0,0.12356918098891738,0.15281809671920596
norm_local/div_base/dis_True,40.0,0.09004186775658017,0.11934198400294824
norm_local/div_base/dis_True,60.0,0.0896228015657628,0.1194382210506304
norm_local/div_base/dis_True,80.0,0.10229174032610566,0.1504882319246833
