Method,Queries,AvgRegret,StdRegret
norm_base/div_UCB/dis_True,20.0,0.6916471082237684,0.49513460914353347
norm_base/div_UCB/dis_True,40.0,0.4403535432767761,0.3242140813436558
norm_base/div_UCB/dis_True,60.0,0.36660673063255284,0.2754518707468277
norm_base/div_UCB/dis_True,80.0,0.3208111854566696,0.20543298728198608
norm_base/div_base/dis_False,20.0,0.8342744009296164,0.47015703979971846
norm_base/div_base/dis_False,40.0,0.7810938999181788,0.4366618014586205
norm_base/div_base/dis_False,60.0,0.7313639182330285,0.5086815408241214
norm_base/div_base/dis_False,80.0,0.9324211340522426,0.5701102695807079
norm_base/div_base/dis_True,20.0,0.7024292438645663,0.43971345187152044
norm_base/div_base/dis_True,40.0,0.5261480942459487,0.45972130016793755
norm_base/div_base/dis_True,60.0,0.37038900312077716,0.3420991265056695
norm_base/div_base/dis_True,80.0,0.45243679694902267,0.46743789904120053
norm_custom/div_UCB/dis_True,20.0,0.2222192977710523,0.3954400994753416
norm_custom/div_UCB/dis_True,40.0,0.1136552125492504,0.2300245231103909
norm_custom/div_UCB/dis_True,60.0,0.006,0.024941725156184515
norm_custom/div_UCB/dis_True,80.0,0.2238315417624331,0.4702416963990929
norm_custom/div_base/dis_False,20.0,0.35447397364151817,0.447892429407814
norm_custom/div_base/dis_False,40.0,0.319979600013952,0.3318836197932666
norm_custom/div_base/dis_False,60.0,0.18723943764674253,0.29486453181433353
norm_custom/div_base/dis_False,80.0,0.22623982266747694,0.3576269296449852
norm_custom/div_base/dis_True,20.0,0.41536731265054055,0.5012365409430151
norm_custom/div_base/dis_True,40.0,0.2578279521279324,0.4039431081745862
norm_custom/div_base/dis_True,60.0,0.16846798467831609,0.29946918222518815
norm_custom/div_base/dis_True,80.0,0.21100460372584187,0.3412837726238826
norm_local/div_UCB/dis_True,20.0,0.8166686873029672,0.6409422165142122
norm_local/div_UCB/dis_True,40.0,0.6900074240612312,0.5034485603044939
norm_local/div_UCB/dis_True,60.0,0.7280339079980176,0.5904001702106519
norm_local/div_UCB/dis_True,80.0,0.4852194264868353,0.4849379938169275
norm_local/div_base/dis_False,20.0,0.8359914868450851,0.6231292038450962
norm_local/div_base/dis_False,40.0,0.7987892221418708,0.5875445081769342
norm_local/div_base/dis_False,60.0,0.7825073987813737,0.5937277700717029
norm_local/div_base/dis_False,80.0,0.7764504168485121,0.6604530253767414
norm_local/div_base/dis_True,20.0,0.7586942269762342,0.5863299644418185
norm_local/div_base/dis_True,40.0,0.6934823515417705,0.5405583754137079
norm_local/div_base/dis_True,60.0,0.5811639207323984,0.5190452079294896
norm_local/div_base/dis_True,80.0,0.2831481921729977,0.3640249522065998
