Method,Queries,AvgRegret,StdRegret
norm_base,20.0,0.19108759931131064,0.23607471059484142
norm_base,40.0,0.19183410446502258,0.2542502578167663
norm_base,60.0,0.23922234600359,0.23634599106619777
norm_custom,20.0,0.437956312215458,0.9136179912393931
norm_custom,40.0,0.2381785551010879,0.2717811978520797
norm_custom,60.0,0.44901154425430184,0.8224449881154087
