iter,weights_learned,regret,preferred_solution,computed_solution
20,"{'makespan': 3.6227453886703507, 'workstations': 0.33343333333333336, 'employees': 1.5001, 'robots': 3.0, 'employee_time': 3.1741734011254836}",0.7708981603254299,"{'makespan': 0.7922222222222223, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}","{'makespan': 0.53, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.1622222222222222}"
40,"{'makespan': 3.3043921117102153, 'workstations': 0.0001, 'employees': 1.5001, 'robots': 5.0, 'employee_time': 7.001887112206027}",0.347813339822883,"{'makespan': 0.7922222222222223, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}","{'makespan': 0.5355555555555556, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.12333333333333334}"
60,"{'makespan': 0.2494929309043149, 'workstations': 0.0001, 'employees': 1.5001, 'robots': 9.0, 'employee_time': 7.223841810280421}",0.0,"{'makespan': 0.7922222222222223, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}","{'makespan': 0.7922222222222223, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}"
80,"{'makespan': 0.07691028111894149, 'workstations': 0.0001, 'employees': 1.5001, 'robots': 10.0, 'employee_time': 8.37974791918486}",0.0,"{'makespan': 0.7922222222222223, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}","{'makespan': 0.7922222222222223, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}"
