iter,weights_learned,regret,preferred_solution,computed_solution
20,"{'makespan': np.float64(1.9453362711153082), 'workstations': np.float64(0.16676666666666684), 'employees': np.float64(2.0), 'robots': np.float64(2.0), 'employee_time': np.float64(2.138755980861244)}",0.47529652030476793,"{'makespan': 1.3677777777777778, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}","{'makespan': 0.5355555555555556, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.12333333333333334}"
40,"{'makespan': np.float64(1.93309551288777), 'workstations': np.float64(0.16676666666666679), 'employees': np.float64(2.0), 'robots': np.float64(2.0), 'employee_time': np.float64(2.353535353535354)}",0.47529652030476793,"{'makespan': 1.3677777777777778, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}","{'makespan': 0.5355555555555556, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.12333333333333334}"
60,"{'makespan': np.float64(1.922603434407023), 'workstations': np.float64(0.1667666666666669), 'employees': np.float64(2.0), 'robots': np.float64(2.0), 'employee_time': np.float64(2.5481127060074433)}",0.47529652030476793,"{'makespan': 1.3677777777777778, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}","{'makespan': 0.5355555555555556, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.12333333333333334}"
