iter,weights_learned,regret,preferred_solution,computed_solution
20,"{'makespan': np.float64(7.55352605156038), 'workstations': np.float64(81.0), 'employees': np.float64(26.0), 'robots': np.float64(21.0), 'employee_time': 0.0001}",1.5563733064029782e-08,"{'makespan': 0.9755555555555555, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 0.9533333333333334}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
40,"{'makespan': 0.0001, 'workstations': np.float64(121.0), 'employees': np.float64(66.0), 'robots': np.float64(21.0), 'employee_time': 0.0001}",1.559483379833621e-08,"{'makespan': 0.9755555555555555, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 0.9533333333333334}","{'makespan': 1.11, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
60,"{'makespan': 0.0001, 'workstations': np.float64(121.0), 'employees': np.float64(66.0), 'robots': np.float64(21.0), 'employee_time': np.float64(0.8621689655172409)}",1.5572618988117333e-08,"{'makespan': 0.9755555555555555, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 0.9533333333333334}","{'makespan': 1.0433333333333332, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
