iter,weights_learned,regret,preferred_solution,computed_solution
20,"{'makespan': 0.6916154058685694, 'workstations': 0.0001, 'employees': 1.0001, 'robots': 1.0001, 'employee_time': 1.0155173312068049}",1.1152929540425183,"{'makespan': 0.7788888888888889, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}","{'makespan': 0.5355555555555556, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.12333333333333334}"
40,"{'makespan': 0.6760521561221281, 'workstations': 0.33343333333333336, 'employees': 1.0001, 'robots': 1.0001, 'employee_time': 1.308978256246677}",1.7769097896790944,"{'makespan': 0.7788888888888889, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}","{'makespan': 0.53, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.1622222222222222}"
60,"{'makespan': 0.6568166789074251, 'workstations': 0.16676666666666673, 'employees': 1.0001, 'robots': 1.3334333333333332, 'employee_time': 1.1909559276980328}",1.7769097896790944,"{'makespan': 0.7788888888888889, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}","{'makespan': 0.53, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.1622222222222222}"
80,"{'makespan': 0.7548301787150703, 'workstations': 0.8334333333333335, 'employees': 1.0001, 'robots': 1.3334333333333332, 'employee_time': 1.244119138755981}",1.7769097896790944,"{'makespan': 0.7788888888888889, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}","{'makespan': 0.53, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.1622222222222222}"
