iter,weights_learned,regret,preferred_solution,computed_solution
20,"{'makespan': np.float64(5.636124423337856), 'workstations': np.float64(21.909090909090917), 'employees': np.float64(11.0), 'robots': np.float64(11.0), 'employee_time': 0.0001}",0.0,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
40,"{'makespan': np.float64(0.48687069199457333), 'workstations': np.float64(30.090909090909108), 'employees': np.float64(17.666666666666664), 'robots': np.float64(18.5), 'employee_time': 0.0001}",0.0,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
60,"{'makespan': 0.0001, 'workstations': np.float64(39.18181818181817), 'employees': np.float64(24.33333333333333), 'robots': np.float64(23.5), 'employee_time': 0.0001}",0.000479760058287421,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}","{'makespan': 1.11, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
80,"{'makespan': np.float64(1.7546793758480284), 'workstations': np.float64(50.09090909090907), 'employees': np.float64(30.999999999999993), 'robots': np.float64(31.0), 'employee_time': 0.0001}",0.0,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
